Revenue,Margin,Orders,Units,Recency
1030,329.0,1,1,622
726,139.0,1,1,665
7406,721.0,6,10,1260
809,140.0,1,1,686
94114,35373.0,4,64,1237
2473,759.0,1,1,990
1376,419.0,1,1,683
628,144.0,1,1,683
1102,108.0,1,1,682
1004,185.0,1,1,642
4778,371.0,7,12,1181
1980,294.0,1,1,629
1206,395.0,1,1,672
7686,2700.0,1,10,622
4257,1100.0,3,4,1200
6147,2139.0,2,4,610
2228,786.0,1,1,1008
2751,565.0,2,2,1200
6884,1617.0,1,9,682
1450,535.0,1,1,683
4763,1039.0,1,6,678
2671,794.0,1,1,614
5194,458.0,1,5,614
2280,418.0,1,2,676
3663,866.0,1,1,614
1433,270.0,1,1,644
15646,3868.0,9,9,1181
354760,127485.0,91,360,4693
8466,3198.0,3,6,650
255,13.0,1,1,657
44153,10481.0,5,61,1179
2472,1410.0,1,1,649
2652,228.0,1,3,673
3652,1481.0,1,2,682
1063,397.0,1,1,644
1580,584.0,1,1,608
3825,870.0,1,3,627
1594,240.0,1,1,647
1453,605.0,1,1,1041
1527,262.0,1,3,601
3146,1187.0,1,1,654
491,188.0,1,1,665
33520,12651.0,2,20,1244
6360,344.0,4,11,626
11850,1546.0,3,13,1185
12724,5013.0,2,6,1349
1463,60.0,1,2,608
21120,579.0,1,12,654
1355,228.0,1,3,628
700,4.0,1,1,987
1366,0.0,1,1,601
818,40.0,1,1,641
1427,515.0,1,1,635
4950,2010.0,2,2,634
1112,359.0,2,2,648
9348,2227.0,4,9,1224
1665,658.0,1,1,665
881,182.0,1,1,616
1726,687.0,1,1,613
974,306.0,1,1,643
2387,858.0,1,1,1001
838,260.0,1,1,678
1971,336.0,2,4,1174
2656,1049.0,2,2,1139
2535,523.0,1,3,642
1983,290.0,1,1,668
1714,379.0,1,1,676
1564,259.0,1,2,663
1798,607.0,2,2,1207
1611,362.0,1,1,637
929,333.0,1,1,684
2341,693.0,2,2,1887
893,0.0,1,1,599
660,61.0,1,1,635
2890,195.0,3,4,1218
994,116.0,1,1,681
3651,73.0,2,2,647
912,156.0,1,1,627
1820,462.0,1,1,668
849,21.0,1,1,637
2564,52.0,2,8,685
440,6.0,1,1,670
