Company Name,Revenue,Margin,Orders,Units,Recency
Customer10320,2126,745,2,2,1383
Customer10321,4060,1693,4,5,1348
Customer10322,3230,633,1,5,760
Customer10323,60954,13966,25,99,1918
Customer10324,396,115,1,1,709
Customer10325,2002,41,2,4,748
Customer10326,5135,1404,5,9,1386
Customer10327,1531,396,1,2,726
Customer10328,3994,807,4,8,1410
Customer10329,2867,94,1,6,705
Customer1033,52149,10714,3,60,2378
Customer10330,812,181,1,1,731
Customer10331,409,0,1,1,691
Customer10332,514,67,1,1,740
Customer10333,1055,274,1,1,746
Customer10334,898,82,1,2,706
Customer10335,7115,273,3,10,740
Customer10336,19022,7839,7,9,1931
Customer10337,28191,5955,2,21,698
Customer10338,8917,2264,5,6,1384
Customer10339,716,67,1,1,698
Customer1034,1619,603,1,1,1033
Customer10340,1890,540,2,2,1284
Customer10341,566,6,1,1,711
Customer10342,1182,502,1,1,704
Customer10343,1023,109,2,2,725
Customer10344,531,86,1,1,692
Customer10345,1066,354,1,1,698
Customer10346,2718,351,5,5,1870
Customer10347,1849,304,2,2,1243
Customer10348,3724,1067,1,2,705
Customer10349,999,172,1,1,688
Customer1035,69327,18351,30,72,4629
Customer10350,3162,194,1,11,693
Customer10351,1650,1008,1,1,745
Customer10352,10652,2584,1,10,724
Customer10353,691,179,1,1,708
Customer10354,18907,1815,2,50,1319
Customer10355,1449,489,1,1,726
Customer10356,3729,455,2,3,707
Customer10357,11496,1383,4,21,712
Customer10358,5516,2131,4,6,1261
Customer10359,3389,1172,3,4,719
Customer1036,30212,9384,6,15,3497
Customer10360,5857,1713,2,7,1258
Customer10361,11154,1471,2,11,1352
Customer10362,763,192,1,2,768
Customer10363,11176,3364,2,8,1235
Customer10364,1720,542,2,2,1343
Customer10365,9596,3290,4,8,1921
Customer10366,1965,737,1,1,740
Customer10367,1520,468,1,2,710
Customer10368,1425,327,1,2,760
Customer10369,1608,314,2,2,1301
Customer1037,2923,335,2,4,1812
Customer10370,457,37,1,1,766
Customer10371,1519,550,1,1,731
Customer10372,724,178,1,1,724
Customer10373,1150,345,1,1,770
Customer10374,1720,682,1,1,768
Customer10375,68842,26168,6,86,1881
Customer10376,17739,3326,3,24,726
Customer10377,910,328,1,1,741
Customer10378,2299,593,2,2,713
Customer10379,600,33,1,1,712
Customer1038,1665,245,1,1,1005
Customer10380,803,41,2,2,744
Customer10381,1384,529,1,1,714
Customer10382,1819,447,1,3,719
Customer10383,14858,6467,2,7,1440
Customer10384,1561,583,1,1,757
Customer10385,63230,18439,6,159,1224
Customer10386,14282,3196,4,13,1228
Customer10387,2676,762,1,1,744
Customer10388,1518,575,1,1,766
Customer10389,3404,487,1,2,726
Customer1039,1062,378,1,1,1013
Customer10390,19204,1604,8,55,2419
Customer10391,4858,1848,3,6,1953
Customer10392,2232,775,1,3,720
Customer10393,2123,0,1,2,692
Customer10394,925,260,1,1,706
Customer10395,2853,618,1,2,704
Customer10396,2951,681,3,3,695
Customer10397,15019,5001,11,12,1905
Customer10398,1756,442,2,2,1371
Customer10399,1894,628,2,3,726
Customer104,26549,2972,10,22,3062
Customer1040,23404,5774,3,29,1917
Customer10400,6184,1098,4,5,1947
Customer10401,8287,1709,4,10,1344
Customer10402,1530,278,1,1,716
Customer10403,391,38,1,1,719
Customer10404,1503,38,2,2,710
Customer10405,2470,111,1,1,727
Customer10406,6264,394,7,16,1336
Customer10407,3405,944,2,4,1406
Customer10408,1980,243,1,1,752
Customer10409,1252,405,1,1,759
Customer1041,32533,10789,27,32,7290
Customer10410,20147,5810,2,25,744
Customer10411,4180,1433,3,3,721
Customer10412,1983,270,1,1,695
Customer10413,1360,131,1,1,721
Customer10414,1480,79,4,4,1182
Customer10415,1827,690,1,1,640
Customer10416,2139,784,1,1,682
Customer10417,2839,528,1,2,637
Customer10418,437,91,1,1,630
Customer10419,1281,482,1,1,636
Customer1042,5582,102,2,10,979
Customer10420,8669,2704,1,10,616
Customer10421,6707,2090,3,9,1136
Customer10422,894,344,1,1,633
Customer10423,1016,285,2,2,612
Customer10424,3311,470,3,9,1166
Customer10425,1487,475,1,1,609
Customer10426,440,5,1,1,664
Customer10427,800,234,1,1,620
Customer10428,1906,607,1,2,623
Customer10429,2548,956,1,1,606
Customer1043,1277,464,1,1,984
Customer10430,21969,4295,1,14,628
Customer10431,854,371,1,1,641
Customer10432,2957,403,2,2,1138
